text,label,split,cleaned_text
"11 Agustus 2010 - Pembuat alat ukur Finlandia Vaisala Oyj HEL : VAIAS hari ini mengatakan bahwa rugi bersihnya melebar menjadi EUR4 ,8 juta pada paruh pertama tahun 2010 dari EUR2 ,3 juta pada periode yang sama tahun sebelumnya .",0,Train,token_angka agustus token_tahun pembuat alat ukur finlandia vaisala perusahaan publik bursa efek helsinki vaias rugi bersihnya melebar menjadi token_uang token_angka juta paruh token_tahun dari token_uang token_angka juta periode
"Harga bahan baku aluminium naik pada akhir tahun 2005, tetapi perusahaan menganggap prospek tahun 2006 menguntungkan.",2,Train,harga bahan baku aluminium naik token_tahun tetapi perusahaan menganggap prospek token_tahun menguntungkan
"Ekspor turun 6 persen menjadi 16,4 juta liter.",0,Train,ekspor turun token_persen menjadi token_angka juta liter
"Ini akan dioperasikan oleh Nokia, dan didukung oleh sistem manajemen layanan dan jaringan Nokia NetAct.",1,Train,dioperasikan nokia didukung sistem manajemen layanan jaringan nokia netact
Harga pembelian tidak diungkapkan.,1,Train,harga pembelian tidak
"Para pemegang saham tersebut di atas telah menginformasikan bahwa mereka akan mengusulkan kepada Rapat Umum Tahunan bahwa jumlah anggota Direksi adalah lima orang dan bahwa selain anggota Direksi yang hadir, Tuan Lassi Noponen juga akan dipilih menjadi anggota Direksi. .",1,Train,pemegang saham atas menginformasikan mengusulkan rapat tahunan anggota direksi orang anggota direksi hadir tuan lassi noponen dipilih menjadi anggota direksi
"25 November 2010 - Perusahaan cat dan pelapis Finlandia Tikkurila Oyj (HEL: TIK1V) hari ini mengatakan bahwa perusahaan investasi milik negara Finlandia Solidium Oy menjual 14,7% sahamnya di perusahaan dengan total EUR98 juta.",1,Train,token_angka november token_tahun perusahaan cat pelapis finlandia tikkurila perusahaan publik hel tik token_angka v perusahaan investasi milik negara finlandia solidium perusahaan menjual token_angka sahamnya perusahaan total token_uang
"Ketika produk diproduksi di Finlandia, produk tersebut juga dikemas di dalam negeri.",1,Train,produk diproduksi finlandia produk dikemas negeri
"Penggunaan kembali kembali ke botol PET juga terus meningkat dan tingkat penggunaan pita pengikat telah meningkat lagi setelah penurunan pada tahun 2005, kata Petcore sebelumnya.",2,Train,penggunaan ke botol pet meningkat tingkat penggunaan pita pengikat meningkat setelah penurunan token_tahun petcore
"Berdasarkan perjanjian tersebut , Larox akan mentransfer 10 karyawan dalam bidang teknik dan dokumentasi yang terkait dengan proyek pengiriman dan pemeliharaan produk di Finlandia ke Etteplan mulai 1 Januari 2007 .",1,Train,berdasarkan perjanjian larox mentransfer token_angka karyawan bidang teknik dokumentasi terkait proyek pengiriman pemeliharaan produk finlandia ke etteplan token_angka januari token_tahun
"Pesanan itu dihargai USD12,2 m.",1,Train,pesanan dihargai token_uang token_angka
Pertumbuhan yang kuat adalah hasil dari dimasukkannya rantai pakaian Lindex dalam Grup pada bulan Desember 2007 .,2,Train,pertumbuhan kuat hasil dari dimasukkannya rantai pakaian lindex grup desember token_tahun
Undang-Undang Kepailitan mengatur jumlah utang yang boleh dihapuskan oleh peminjam.,1,Train,undang undang kepailitan mengatur utang dihapuskan peminjam
"Theodosopoulos mengatakan Tellabs dapat menjadi nilai bagi Nokia Siemens atau Nortel mengingat `` status pasokan terdepan '' dengan Verizon, bersama dengan produk-produk dengan pertumbuhan tinggi.",2,Train,theodosopoulos tellabs menjadi nilai nokia siemens nortel status pasokan terdepan verizon produk produk pertumbuhan
"Berkantor pusat di kota ini, perusahaan berusia hampir 75 tahun dan berfokus pada inovasi berbasis sains dan teknologi untuk pengukuran lingkungan.",1,Train,berkantor pusat kota perusahaan berusia token_angka berfokus inovasi berbasis sains teknologi pengukuran lingkungan
"Pada kuartal pertama tahun 2010, hasil mark-to-market adalah laba sebelum pajak sebesar EUR 133 juta versus kerugian sebesar EUR 32 juta pada periode yang sama tahun lalu.",2,Train,kuartal token_tahun hasil mark market laba pajak sebesar token_uang versus kerugian sebesar token_uang periode
"Di bulan September saja, pasar turun 10,2 persen year-on-year menjadi 19,28 juta liter.",0,Train,september pasar turun token_persen year year menjadi token_angka juta liter
Incap Contract Manufacturing adalah anak perusahaan dari Incap Corporation of Finland.,1,Train,incap contract manufacturing anak perusahaan dari incap corporation finland
"Yara Suomi Ltd juga menyediakan bahan kimia nitrogen dan nitrat teknis untuk berbagai sektor industri, serta produk yang digunakan dalam perlindungan lingkungan.",1,Train,yara suomi ltd menyediakan bahan kimia nitrogen nitrat teknis sektor industri produk perlindungan lingkungan
"Ini sesuai dengan 4,628 persen modal saham dan hak suara Okmetic.",1,Train,sesuai token_persen modal saham hak suara okmetic
"Menggabungkan kedua produsen akan menciptakan industri pupuk berbasis UE yang kuat yang mampu menghadapi persaingan global, tambah mereka.",2,Train,menggabungkan produsen menciptakan industri pupuk berbasis ue kuat menghadapi persaingan global
"Dari penjualan bersih perusahaan, 38% diperoleh di Finlandia, 21% di negara Eropa lainnya, 40% di Asia, dan 1% di AS.",1,Train,dari penjualan bersih perusahaan token_angka diperoleh finlandia token_angka negara eropa token_angka asia token_angka
"Pada kuartal kedua tahun 2010 , kerugian bersih Raute menyempit menjadi EUR 123.000 dari EUR 1,5 juta pada periode yang sama tahun 2009 .",2,Train,kuartal token_tahun kerugian bersih raute menyempit menjadi token_uang dari token_uang periode token_tahun
Perusahaan yang diperluas akan terus disebut NewPage .,1,Train,perusahaan diperluas newpage
Scanfil juga mengeluarkan peringatan keuntungan.,0,Train,scanfil mengeluarkan peringatan keuntungan
"Volume investasi dalam dua tahap proyek ini diperkirakan sebesar USD 300 juta ( EUR 215,03 juta ) .",1,Train,volume investasi tahap proyek sebesar token_uang token_uang
"Laba operasi , tidak termasuk item yang tidak berulang , berjumlah EUR 0,2 juta , turun dari EUR 0,8 juta pada periode yang sama tahun 2006 .",0,Train,laba operasi tidak item tidak berulang token_uang turun dari token_uang periode token_tahun
"Perwakilan Tiimari Latvia Ineta Zaharova mengatakan bahwa perusahaan memperoleh keuntungan LVL 122.000 pada tahun 2005 , yang merupakan 20 kali lipat dari tahun 2004 .",2,Train,perwakilan tiimari latvia ineta zaharova perusahaan memperoleh keuntungan lvl token_angka token_tahun token_angka kali lipat dari token_tahun
Jam berpernis kayu ini hadir dengan sampul rajutan tangan bergaris.,1,Train,jam berpernis kayu hadir sampul rajutan tangan bergaris
"Finnish Talentum melaporkan keuntungan operasional meningkat menjadi EUR 20,5 juta di tahun 2005 dari EUR 9,3 juta di tahun 2004, dan penjualan bersih mencapai EUR 103,3 juta, naik dari EUR 96,4 juta.",2,Train,finnish talentum melaporkan keuntungan operasional meningkat menjadi token_uang token_tahun dari token_uang token_tahun penjualan bersih mencapai token_uang naik dari token_uang
"Volume pengiriman dan harga jual Ruukki menunjukkan perkembangan yang baik dan penjualan bersih perusahaan yang sebanding tumbuh sebesar 50 % tahun ke tahun menjadi EUR647 juta , kata CEO Sakari Tamminen .",2,Train,volume pengiriman harga jual ruukki perkembangan penjualan bersih perusahaan sebanding tumbuh sebesar token_angka ke menjadi token_uang direktur utama sakari tamminen
Nama divisi penerbitan dan percetakan surat kabar Sanoma akan diubah menjadi Sanoma News.,1,Train,nama divisi penerbitan percetakan surat kabar sanoma diubah menjadi sanoma news
"Laba bersih perusahaan sebesar EE 55,5 juta , yang 36 % lebih tinggi dari tahun 2004 .",2,Train,laba bersih perusahaan sebesar ee token_angka juta token_angka lebih dari token_tahun
"Sebelumnya, EB mengirimkan solusi khusus untuk LG Electronics dan sekarang membuatnya tersedia secara komersial untuk vendor terminal seluler lainnya serta operator nirkabel.",2,Train,eb mengirimkan solusi khusus lg electronics membuatnya tersedia komersial vendor terminal seluler operator nirkabel
"Pemasok komponen logam Finlandia Componenta Oyj mengatakan laba bersih naik menjadi 3,5 juta euro $ 4,5 juta pada tahun 2006 dari 2,2 juta euro $ 2,8 juta pada tahun 2005 .",2,Train,pemasok komponen logam finlandia componenta perusahaan publik laba bersih naik menjadi token_angka juta euro token_angka juta token_tahun dari token_angka juta euro token_angka juta token_tahun
Suomen Paikallissanomat Oy adalah bagian dari Alma Media Group dan saat ini menerbitkan 15 surat kabar lokal di seluruh Finlandia.,1,Train,suomen paikallissanomat perusahaan dari alma media group menerbitkan token_angka surat kabar lokal finlandia
Okmetic merevisi prospek keuangan 2010 berdasarkan buku pesanannya.,1,Train,okmetic merevisi prospek keuangan token_tahun berdasarkan buku pesanannya
"EUR928 ,000 pada Q1 2010 6 Mei 2010 - Perusahaan tekstil dan desain pakaian Finlandia Marimekko Oyj (HEL: MMO1V) mengatakan hari ini laba bersihnya naik menjadi EUR928 ,000 pada kuartal pertama 2010 dari EUR13 ,000 pada periode yang sama tahun sebelumnya .",2,Train,token_uang token_angka kuartal token_tahun token_angka mei token_tahun perusahaan tekstil desain pakaian finlandia marimekko perusahaan publik hel mmo token_angka v laba bersihnya naik menjadi token_uang token_angka kuartal token_tahun dari token_uang token_angka periode
"Selain itu, perusahaan akan menggunakan solusi untuk mengotomatiskan penyusunan laporan keuangan sesuai standar IFRS.",1,Train,perusahaan solusi mengotomatiskan penyusunan laporan keuangan sesuai standar ifrs
"Mengikuti langkah tersebut, Stora Enso yang memegang di NewPage tidak akan berubah.",1,Train,mengikuti langkah stora enso memegang newpage tidak berubah
"JP Morgan memperkirakan bahwa Scala akan menurunkan perkiraan pertumbuhan Nobel Biocare untuk tahun 2007 dari panduan saat ini sebesar 23-25 persen, serta target marjin operasi dari 34-35 persen saat ini.",0,Train,jp morgan scala menurunkan perkiraan pertumbuhan nobel biocare token_tahun dari panduan sebesar token_angka token_persen target marjin operasi dari token_angka token_persen
Perusahaan mengoperasikan pembangkit listrik di wilayah Tyumen dan Chelyabinsk dan di Distrik Otonomi Khanty-Mansi .,1,Train,perusahaan mengoperasikan pembangkit listrik wilayah tyumen chelyabinsk distrik otonomi khanty mansi
"Pada tanggal 25 Agustus 2009, saham Sampo di Nordea adalah 19,45%.",1,Train,tanggal token_angka agustus token_tahun saham sampo nordea token_angka
Perusahaan membangun komponen untuk ponsel dan produk komunikasi lainnya.,1,Train,perusahaan membangun komponen ponsel produk komunikasi
"ADP News - Feb 25, 2009 - Pembuat PCB papan sirkuit cetak Finlandia Aspocomp Group Oyj HEL: ACG1V mengatakan hari ini keuntungan bersihnya sebesar EUR 300.000 USD 385.000 untuk tahun 2008 versus kerugian bersih EUR 65,3 juta",2,Train,adp news feb token_angka token_tahun pembuat pcb papan sirkuit cetak finlandia aspocomp group perusahaan publik hel acg token_angka v keuntungan bersihnya sebesar token_uang token_uang token_tahun versus kerugian bersih token_uang
"Kerugian operasi sebesar EUR 0,8 juta, dibandingkan dengan keuntungan sebesar EUR 3,9 juta setahun sebelumnya.",0,Train,kerugian operasi sebesar token_uang dibandingkan keuntungan sebesar token_uang setahun
"Sullivan mengatakan beberapa dewan `` benar-benar melibatkan banyak pekerjaan, dan orang harus dibayar untuk waktu mereka. ''",1,Train,sullivan dewan melibatkan pekerjaan orang dibayar
"Prospek EPS meningkat sebesar 5,6 persen untuk tahun 2007 dan 7,0 persen untuk tahun 2008 .",2,Train,prospek eps meningkat sebesar token_persen token_tahun token_persen token_tahun
"Diluted earning per share ( EPS ) naik menjadi EUR 0,29 dari EUR 0,05 .",2,Train,diluted earning share eps naik menjadi token_uang dari token_uang
`` Layanan Vaalipalvelu kami secara khusus dikembangkan untuk digunakan oleh komunitas dan organisasi .,1,Train,layanan vaalipalvelu khusus dikembangkan komunitas organisasi
"Elisa Corporation akan mengungkapkan laporan keuangannya untuk tahun 2006 pada hari Kamis, 8 Februari 2007.",1,Train,elisa corporation laporan keuangannya token_tahun kamis token_angka februari token_tahun
168 pakar manajemen asetnya mengelola aset senilai lebih dari EUR 35 miliar.,1,Train,token_angka pakar manajemen asetnya mengelola aset senilai lebih dari token_uang
"Pada Juli-September 2008 , penjualan bersih YIT meningkat menjadi EUR 970,8 juta , dibandingkan dengan EUR 906,8 juta pada periode yang sama tahun 2007 .",2,Train,juli september token_tahun penjualan bersih yit meningkat menjadi token_uang dibandingkan token_uang periode token_tahun
"Sekarang memiliki 80.565 saham di Amer Sports Corporation, setara dengan 0,11% dari modal saham perusahaan dan hak suara.",1,Train,memiliki token_angka saham amer sports corporation setara token_angka dari modal saham perusahaan hak suara
"BasWare berkantor pusat di Espoo, Finlandia.",1,Train,basware berkantor pusat espoo finlandia
Pabrik akan memiliki kapasitas untuk memproduksi 500.000 ton pulp per tahun.,1,Train,pabrik memiliki kapasitas memproduksi token_angka ton pulp
Rasionalisasi operasi berusaha untuk mencapai penghematan tahunan lebih dari EUR 1 juta sejak kuartal kedua tahun keuangan saat ini.,2,Train,rasionalisasi operasi berusaha mencapai penghematan tahunan lebih dari token_uang kuartal keuangan
"Keenam pabrik tersebut mencatat pertumbuhan penjualan bir domestik tahun lalu sebesar 5,2 persen menjadi 270,21 juta liter , dari 256,88 juta liter yang terjual pada 2005 .",2,Train,keenam pabrik mencatat pertumbuhan penjualan bir domestik sebesar token_persen menjadi token_angka juta liter dari token_angka juta liter terjual token_tahun
"Pembayaran untuk saham yang dibeli akan dilakukan secara tunai, dan harga per saham adalah EUR 1 ditambah biaya administrasi.",1,Train,pembayaran saham dibeli tunai harga saham token_uang ditambah biaya administrasi
"Saat ini umpan Terminator diproduksi di fasilitas subkontrak di Meksiko tetapi pembuatannya akan dialihkan ke pabrik Rapala di Shenzhen, China.",1,Train,umpan terminator diproduksi fasilitas subkontrak meksiko tetapi pembuatannya dialihkan ke pabrik rapala shenzhen china
"Setelah pemecahan, perseroan akan memiliki 26.885.540 saham Seri A dan 9.540.000 saham Seri K.",1,Train,setelah pemecahan perseroan memiliki token_angka token_angka saham seri token_angka token_angka saham seri k
"Pada kuartal ketiga, penjualan bersih meningkat sebesar 12% tahun-ke-tahun menjadi EUR159 ,5 juta, atau sebesar 6% pada tingkat pertumbuhan mata uang yang sebanding.",2,Train,kuartal ketiga penjualan bersih meningkat sebesar token_angka ke menjadi token_uang token_angka juta sebesar token_angka tingkat pertumbuhan mata uang sebanding
"Namun, penawaran tersebut mungkin tidak akan dilakukan pada penilaian saat ini, yang sebagian berasal dari kesepakatan di mana perusahaan digabungkan ke dalam cangkang pasar saham.",1,Train,namun penawaran tidak penilaian berasal dari kesepakatan perusahaan digabungkan ke cangkang pasar saham
Bursa Rilis 10/3/2011 12:00 Sanoma telah menerbitkan Laporan Tahunan dan Laporan Keuangan untuk 2010 dan Laporan Tanggung Jawab Perusahaan yang pertama.,1,Train,bursa rilis token_angka token_angka token_tahun token_angka token_angka sanoma menerbitkan laporan tahunan laporan keuangan token_tahun laporan tanggung perusahaan
"Perusahaan pelayaran Finlandia Finnlines ' rugi sebelum pajak mencapai EUR 6,5 juta pada kuartal ketiga 2009 , dibandingkan dengan keuntungan EUR 0,3 juta pada kuartal ketiga 2008 .",0,Train,perusahaan pelayaran finlandia finnlines rugi pajak mencapai token_uang kuartal ketiga token_tahun dibandingkan keuntungan token_uang kuartal ketiga token_tahun
"Nilai pasar satu derek sekitar USD6 juta, lapor kantor berita Finlandia STT.",1,Train,nilai pasar derek sekitar token_uang lapor kantor berita finlandia stt
"Tulikivi memproduksi perapian penahan panas , batu sabun dan keramik , serta produk batu alam dan keramik utilitas .",1,Train,tulikivi memproduksi perapian penahan panas batu sabun keramik produk batu alam keramik utilitas
"Derek kokas akan dipasok ke Kilang Golden Eagle Tesoro Corporation di Martinez, California, sementara derek serupa akan dikirim ke kilang Castell BP di Spanyol.",1,Train,derek kokas dipasok ke kilang golden eagle tesoro corporation martinez california derek dikirim ke kilang castell bp spanyol
Saham perusahaan terdaftar di segmen Mid Cap NASDAQ OMX Helsinki.,1,Train,saham perusahaan terdaftar segmen mid cap bursa efek nasdaq bursa efek nordik helsinki
Pemilik utama kedua IonPhasE adalah perusahaan modal ventura Aura Capital.,1,Train,pemilik utama ionphase perusahaan modal ventura aura capital
`` Tidak ada ruang untuk mengubah komponen berbagi seperti yang telah kami tunjukkan. '',1,Train,tidak ruang mengubah komponen berbagi tunjukkan
Otoritas persaingan harus menyetujui kesepakatan sebelum dapat diselesaikan.,1,Train,otoritas persaingan menyetujui kesepakatan diselesaikan
Marathon memperkirakan nilai sahamnya yang tersisa di Protalix sebesar $27 juta.,1,Train,marathon nilai sahamnya tersisa protalix sebesar token_angka juta
Ponsse akan membagi jaringan layanan penjualan dan pemeliharaannya menjadi enam wilayah geografis.,1,Train,ponsse membagi jaringan layanan penjualan pemeliharaannya menjadi enam wilayah geografis
"Goodwill dan aset tidak berwujud lainnya bernilai sekitar 2,0 juta euro ($2,6 juta) dari harga pembelian, 20 persennya harus dibayar dalam saham Aspo.",1,Train,goodwill aset tidak berwujud bernilai sekitar token_angka juta euro token_angka juta dari harga pembelian token_angka persennya dibayar saham aspo
"Konecranes Oyj KCR1V FH turun 5,5 persen menjadi 20,51 euro, penurunan terbesar sejak Juni.",0,Train,konecranes perusahaan publik kcr token_angka v fh turun token_persen menjadi token_angka euro penurunan terbesar juni
"Perusahaan mengantisipasi omset untuk seluruh 2010 melampaui tahun sebelumnya ketika itu adalah EUR 67,1 juta.",2,Train,perusahaan mengantisipasi omset token_tahun melampaui token_uang
"Pengembangan taman teknologi , yang akan berspesialisasi dalam teknologi telekomunikasi dan informasi , adalah bagian dari program negara untuk pembentukan taman teknologi untuk sektor teknologi tinggi di Rusia .",1,Train,pengembangan taman teknologi berspesialisasi teknologi telekomunikasi informasi dari program negara pembentukan taman teknologi sektor teknologi rusia
Lambung kapal dibangun satu blok pada satu waktu dan Ruukki mengirimkan bahan pelat untuk setiap blok saat konstruksi berlangsung.,1,Train,lambung kapal dibangun blok ruukki mengirimkan bahan pelat blok konstruksi
"Dengan akuisisi ini, unit modem nirkabel dan sekitar 1.100 karyawannya dipindahkan ke Renesas Electronics Corporation.",1,Train,akuisisi unit modem nirkabel sekitar token_angka karyawannya dipindahkan ke renesas electronics corporation
"Pendapatan operasional perusahaan ( EBIT ) mencapai EUR 0,0 juta , naik dari EUR -0,3 juta tahun ke tahun .",2,Train,pendapatan operasional perusahaan laba operasional mencapai token_uang naik dari euro token_angka juta ke
"Mereka bertanggung jawab atas operasi mereka sendiri, hubungan pelanggan, dan pengembangannya.",1,Train,bertanggung atas operasi hubungan pelanggan pengembangannya
"Saham UPM turun 3 persen menjadi EURO 12,49 $17,24 pada awal perdagangan sore di Helsinki.",0,Train,saham upm turun token_persen menjadi token_uang token_angka perdagangan sore helsinki
"Pada tahun 2008, Kemira mencatat pendapatan sekitar EUR 2,8 miliar dan memiliki 9.400 staf.",1,Train,token_tahun kemira mencatat pendapatan sekitar token_uang memiliki token_angka staf
Pengurangan akan segera dilaksanakan mulai Oktober 2009 .,1,Train,pengurangan dilaksanakan oktober token_tahun
"sen Profil berisi operasi bisnis, sejarah perusahaan, produk dan layanan utama, prospek, pesaing utama, struktur dan karyawan kunci, lokasi dan anak perusahaan.",1,Train,sen profil berisi operasi bisnis sejarah perusahaan produk layanan utama prospek pesaing utama struktur karyawan kunci lokasi anak perusahaan
"Rantai ritel Suomen L+ñhikauppa diberi indeks 5.8 , maskapai SAS 5.8 , broadband TeliaSonera 6.1 , rantai ritel Jerman Lidl 6.1 , langganan seluler Tele Finland 6.1 , jalur pelayaran Tallink 6.3 , dan perusahaan listrik Helsinki Energy 6.3 .",1,Train,rantai ritel suomen l ñhikauppa indeks token_angka maskapai sas token_angka broadband teliasonera token_angka rantai ritel jerman lidl token_angka langganan seluler tele finland token_angka jalur pelayaran tallink token_angka perusahaan listrik helsinki energy token_angka
"Beberapa pengiriman teknologi terbaru termasuk teknologi pengilangan ke Anrak Aluminium, pabrik pembuatan pelet bijih besi ke Tata Steel dan pabrik sintering bijih besi ke Bhushan Steel.",1,Train,pengiriman teknologi terbaru teknologi pengilangan ke anrak aluminium pabrik pembuatan pelet bijih besi ke tata steel pabrik sintering bijih besi ke bhushan steel
"- Laba Grup -¦ sebelum pajak adalah EUR 0,2 7,8 juta.",1,Train,laba grup pajak token_uang token_angka juta
"Penemunya adalah Ridge Justin, Bao Yiliang dan Karczewicz Marta.",1,Train,penemunya ridge justin bao yiliang karczewicz marta
"Laba operasional meningkat menjadi EUR 13,1 juta dari EUR 8,7 juta pada periode yang sama tahun 2007 mewakili 7,7% dari penjualan bersih.",2,Train,laba operasional meningkat menjadi token_uang dari token_uang periode token_tahun mewakili token_angka dari penjualan bersih
Symphony Services menyediakan layanan pengembangan untuk Aldata GOLD.,1,Train,symphony services menyediakan layanan pengembangan aldata gold
Olvi telah membukukan angka yang kuat untuk enam bulan pertama tahun ini.,2,Train,olvi membukukan angka kuat enam
"mn , dan keuntungan sebelum pajak menjadi EUR 46.4 mn dari EUR 35.8 mn di kuartal ketiga tahun 2006 .",2,Train,mn keuntungan pajak menjadi token_uang mn dari token_uang mn kuartal ketiga token_tahun
Administrasi terpusat Kauko-Telko akan dibubarkan dan bagian-bagiannya yang sesuai akan dialihkan ke aktivitas operasi dan administrasi Grup pada akhir tahun.,1,Train,administrasi terpusat kauko telko dibubarkan bagiannya sesuai dialihkan ke aktivitas operasi administrasi grup
"( ADPnews ) - May 4 , 2010 - Fiskars Oyj Abp ( HEL : FISAS ) mengatakan hari ini laba bersihnya turun menjadi EUR 12,9 juta ( USD 17 juta ) pada kuartal pertama 2010 dari EUR 17 juta pada tahun yang sama",0,Train,adpnews may token_angka token_tahun fiskars perusahaan publik abp bursa efek helsinki fisas laba bersihnya turun menjadi token_uang token_uang kuartal token_tahun dari token_uang
"Penjualan bersih Finnish Sanoma Learning & Literature , dari grup media Finlandia Sanoma , turun sebesar 3,6 % pada Januari - Juni 2009 dengan total EUR 162,8 juta , turun dari EUR 168,8 juta pada periode yang sama di tahun 2008 .",0,Train,penjualan bersih finnish sanoma learning literature dari grup media finlandia sanoma turun sebesar token_angka januari juni token_tahun total token_uang turun dari token_uang periode token_tahun
"Alamat itu juga ada di rumah megamart Italia Eataly , artinya `` Ayo, anak-anak, kita akan ke Toy Building! ''",1,Train,alamat rumah megamart italia eataly ayo anak anak ke toy building
"Kerugian operasional sebesar EUR 0,9 juta pada paruh pertama tahun 2006 dibandingkan dengan keuntungan sebesar EUR 0,5 juta pada paruh pertama tahun 2005 .",0,Train,kerugian operasional sebesar token_uang paruh token_tahun dibandingkan keuntungan sebesar token_uang paruh token_tahun
"Perusahaan merancang, memproduksi, dan memasarkan produk komposit canggih untuk aplikasi industri dan barang konsumen seperti tiang lintas negara, alpine, dan Nordic Walking, tongkat bola lantai, dan kubah antena.",1,Train,perusahaan merancang memproduksi memasarkan produk komposit canggih aplikasi industri barang konsumen tiang lintas negara alpine nordic walking tongkat bola lantai kubah antena
EPS meningkat menjadi EUR0.38 dari EUR0.27.,2,Train,eps meningkat menjadi token_uang token_angka dari token_uang token_angka
"Outotec mengatakan memenangkan pesanan baru senilai 492,9 juta euro selama kuartal tersebut, dibandingkan dengan 240,4 juta euro setahun sebelumnya.",2,Train,outotec memenangkan pesanan senilai token_angka juta euro selama kuartal dibandingkan token_angka juta euro setahun
"Arus kas setelah investasi sebesar EUR45m, turun dari EUR46m.",0,Train,arus kas setelah investasi sebesar token_uang turun dari token_uang
"Pesanan tersebut juga mencakup layanan desain, perangkat keras, lisensi perangkat lunak, serta layanan pemeliharaan selama enam tahun.",1,Train,pesanan mencakup layanan desain perangkat keras lisensi perangkat lunak layanan pemeliharaan selama enam
Baik Bapak Walden maupun Bapak Ignatius akan bertanggung jawab juga atas hasil usaha surat kabar tersebut.,1,Train,walden ignatius bertanggung atas hasil usaha surat kabar
Saham Ahlstrom dikutip di NASDAQ OMX Helsinki.,1,Train,saham ahlstrom dikutip bursa efek nasdaq bursa efek nordik helsinki
"Laba operasional meningkat menjadi EUR 13,5 juta dari EUR 9,7 juta pada periode yang sama tahun 2006 .",2,Train,laba operasional meningkat menjadi token_uang dari token_uang periode token_tahun
"Model kerja pabrik yang baru dan reorganisasi akan mengurangi biaya Nokian Tires di pabrik sebesar EUR 30 juta (USD 38,7 juta).",2,Train,model kerja pabrik reorganisasi mengurangi biaya nokian tires pabrik sebesar token_uang usd token_angka juta
Storengy adalah perusahaan GDF SUEZ yang didedikasikan untuk penyimpanan gas alam bawah tanah.,1,Train,storengy perusahaan gdf suez didedikasikan penyimpanan gas alam bawah tanah
"Stora Enso akan menerima 19,9 persen saham ekuitas di perusahaan gabungan tersebut.",1,Train,stora enso menerima token_persen saham ekuitas perusahaan gabungan
"ADPnews - Jul 17 , 2009 - Pembuat baja yang berbasis di Finlandia Rautaruukki Oyj Ruukki HEL : RTRKS mengatakan hari ini merosot ke kerugian bersih EUR 184 juta USD 259,7 juta untuk paruh pertama tahun 2009 dari laba bersih EUR 2",0,Train,adpnews jul token_angka token_tahun pembuat baja berbasis finlandia rautaruukki perusahaan publik ruukki bursa efek helsinki rtrks merosot ke kerugian bersih token_uang token_uang paruh token_tahun dari laba bersih token_uang
Cakupan total proyek ini sekitar 38.000 meter persegi dan bernilai total sekitar EUR75 juta.,1,Train,cakupan total proyek sekitar token_angka meter persegi bernilai total sekitar token_uang
"Maskapai Finlandia Finnair telah memenangkan kesepakatan dengan sektor publik Inggris untuk menjadi maskapai penerbangan resmi untuk penerbangan dari London Heathrow ke Osaka di Jepang, serta penerbangan antara Manchester di Inggris dan Helsinki di Finlandia.",2,Train,maskapai finlandia finnair memenangkan kesepakatan sektor publik inggris menjadi maskapai penerbangan resmi penerbangan dari london heathrow ke osaka jepang penerbangan manchester inggris helsinki finlandia
"Namun, perusahaan tidak bisa melepaskan minyak sawit sama sekali.",1,Train,namun perusahaan tidak melepaskan minyak sawit
"Untuk berita 24 jam coba ICIS news www.icis.com Klik `` trial '' , lalu ICIS news",1,Train,berita token_angka jam coba icis news klik trial icis news
"Laba operasi dari operasi di Finlandia pada periode yang ditinjau berjumlah EUR 11,3 juta, tersisa pada level tahun 2005.",1,Train,laba operasi dari operasi finlandia periode ditinjau token_uang tersisa level token_tahun
"Komentar CEO BasWare Ilkka Sihvo sehubungan dengan Laporan Interim : `` Secara keseluruhan, BasWare berhasil dengan baik pada kuartal kedua tahun 2007.",2,Train,komentar direktur utama basware ilkka sihvo sehubungan laporan interim basware berhasil kuartal token_tahun
"Penjualan Oktober-Desember mencapai 302 juta euro, atau meningkat 25,3 persen dari tahun ke tahun.",2,Train,penjualan oktober desember mencapai token_angka juta euro meningkat token_persen dari ke
"Laba bersih mencapai 35,5 juta dibandingkan dengan 29,8 juta.",2,Train,laba bersih mencapai token_angka juta dibandingkan token_angka juta
"Pangsa pasar menurun pada rute antara Helsinki di Finlandia dan Tallinn di Estonia sebesar 0,1 poin persentase menjadi 24,8%.",0,Train,pangsa pasar menurun rute helsinki finlandia tallinn estonia sebesar token_angka poin persentase menjadi token_angka
"Perkiraan nilai kesepakatan adalah USD 9,2 juta.",1,Train,perkiraan nilai kesepakatan token_uang
"Pendapatan komisi naik 25,7 % menjadi EUR 16,1 juta dari EUR 12,8 juta di tahun 2004 .",2,Train,pendapatan komisi naik token_angka menjadi token_uang dari token_uang token_tahun
"Negara : , Swiss Sektor : Farmasi Target : Synosia Therapeutics Holding AG Pembeli : Biotie Therapies Corp Ukuran kesepakatan dalam USD : 129,4 m Jenis : Akuisisi perusahaan Pembiayaan : Semua saham Status : Ditutup",1,Train,negara swiss sektor farmasi target synosia therapeutics holding ag pembeli biotie therapies korporasi ukuran kesepakatan dolar token_angka jenis akuisisi perusahaan pembiayaan saham status ditutup
Kontrak tersebut akan berlaku pada 2009 untuk jangka waktu lima atau sepuluh tahun.,1,Train,kontrak berlaku token_tahun jangka sepuluh
